Summary data on annual food imports value and volume by food category and source country 1999-2017,,,,,,,,,,,,,,,,,,,,,,,Annual growth,,,,,,,,,,,,,,,,,,,
,Food group,,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,Avg.growth
,,,,,,,,,,Million $,,,,,,,,,,,,,,,,,,,,Percent,,,,,,,,,,,,2007-17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total U.S. food imports 1/,,,"43,105.8","45,416.5","46,063.1","49,209.3","55,328.9","61,531.4","67,803.6","74,649.9","81,076.2","88,722.2","81,220.7","91,322.5","107,576.9","111,802.8","115,000.6","125,188.6","126,777.6","129,119.3","137,236.6",,5.4,1.4,6.8,12.4,11.2,10.2,10.1,8.6,9.4,-8.5,12.4,17.8,3.9,2.9,8.9,1.3,1.8,6.3,,5.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live meat animals,,,"1,189.7","1,419.0","1,771.2","1,723.9","1,276.7","1,134.3","1,672.0","2,172.0","2,588.0","2,266.4","1,655.5","2,007.1","1,886.5","2,192.0","2,190.2","3,008.6","2,772.5","2,102.9","2,020.0",,19.3,24.8,-2.7,-25.9,-11.2,47.4,29.9,19.2,-12.4,-27.0,21.2,-6.0,16.2,-0.1,37.4,-7.8,-24.2,-3.9,,1.1
Meats,,,"3,260.5","3,827.7","4,256.2","4,283.5","4,426.8","5,718.5","5,751.9","5,243.6","5,367.3","5,059.8","4,612.1","5,087.8","5,755.2","6,245.2","6,529.8","8,940.4","9,991.7","8,589.1","8,877.6",,17.4,11.2,0.6,3.3,29.2,0.6,-8.8,2.4,-5.7,-8.8,10.3,13.1,8.5,4.6,36.9,11.8,-14.0,3.4,,5.7
Fish and shellfish 2/,,,"8,859.8","9,879.8","9,663.3","9,963.3","10,859.9","11,106.3","11,840.2","13,112.3","13,434.6","13,912.0","12,933.9","14,516.7","16,459.4","16,467.5","17,784.3","20,053.5","18,520.8","19,260.7","21,324.1",,11.5,-2.2,3.1,9.0,2.3,6.6,10.7,2.5,3.6,-7.0,12.2,13.4,0.0,8.0,12.8,-7.6,4.0,10.7,,4.8
Dairy,,,930.3,922.3,995.8,"1,008.8","1,110.3","1,292.3","1,388.4","1,405.7","1,500.8","1,595.6","1,353.4","1,347.2","1,502.1","1,604.2","1,649.1","1,844.3","1,893.5","1,875.8","1,827.2",,-0.9,8.0,1.3,10.1,16.4,7.4,1.2,6.8,6.3,-15.2,-0.5,11.5,6.8,2.8,11.8,2.7,-0.9,-2.6,,2.7
Vegetables,,,"3,631.6","3,771.4","4,156.6","4,391.1","5,082.4","5,730.0","6,043.1","6,619.3","7,256.0","7,800.6","7,525.2","8,705.6","9,666.6","9,945.6","10,733.5","10,929.7","11,290.2","12,469.2","12,743.0",,3.8,10.2,5.6,15.7,12.7,5.5,9.5,9.6,7.5,-3.5,15.7,11.0,2.9,7.9,1.8,3.3,10.4,2.2,,6.3
Fruits,,,"4,764.5","4,629.5","4,665.2","5,067.6","5,557.7","5,962.4","6,873.8","7,707.1","9,217.3","9,888.2","9,639.8","10,649.0","11,973.9","12,537.9","13,602.3","14,807.7","15,954.9","17,157.0","18,383.1",,-2.8,0.8,8.6,9.7,7.3,15.3,12.1,19.6,7.3,-2.5,10.5,12.4,4.7,8.5,8.9,7.7,7.5,7.1,,8.3
Nuts,,,793.9,808.7,670.2,700.5,775.6,"1,078.4","1,121.9","1,099.4","1,181.4","1,350.7","1,278.3","1,461.7","1,863.2","1,999.6","2,000.2","2,360.5","2,767.3","2,870.8","3,300.6",,1.9,-17.1,4.5,10.7,39.0,4.0,-2.0,7.5,14.3,-5.4,14.3,27.5,7.3,0.0,18.0,17.2,3.7,15.0,,10.9
"Coffee, tea, and spices",,,"3,603.7","3,441.8","2,400.7","2,455.0","2,871.9","3,144.3","3,770.8","4,194.9","4,791.2","5,580.8","5,160.3","6,265.0","9,715.8","8,725.7","7,633.2","8,298.8","8,536.2","8,310.9","9,068.8",,-4.5,-30.2,2.3,17.0,9.5,19.9,11.2,14.2,16.5,-7.5,21.4,55.1,-10.2,-12.5,8.7,2.9,-2.6,9.1,,8.6
Grains,,,"2,659.5","2,734.8","2,989.8","3,342.8","3,618.2","4,010.5","4,240.7","4,910.1","5,914.8","7,689.6","6,846.1","7,137.5","8,062.8","9,111.1","10,257.0","10,030.9","10,030.2","10,178.6","10,860.8",,2.8,9.3,11.8,8.2,10.8,5.7,15.8,20.5,30.0,-11.0,4.3,13.0,13.0,12.6,-2.2,0.0,1.5,6.7,,8.0
Vegetable oils,,,"1,356.9","1,362.5","1,177.0","1,301.6","1,506.5","2,241.0","2,362.6","2,818.3","3,516.7","5,694.6","4,039.4","4,508.8","6,793.6","6,235.9","6,664.5","7,336.6","6,304.0","6,521.6","7,224.7",,0.4,-13.6,10.6,15.7,48.8,5.4,19.3,24.8,61.9,-29.1,11.6,50.7,-8.2,6.9,10.1,-14.1,3.5,10.8,,11.7
Sugar and candy,,,"1,617.7","1,571.6","1,580.9","1,842.6","2,130.8","2,111.3","2,473.7","3,021.2","2,606.2","3,011.0","3,081.2","4,107.4","5,207.4","4,783.5","4,327.4","4,582.3","4,705.3","4,693.2","4,720.5",,-2.8,0.6,16.6,15.6,-0.9,17.2,22.1,-13.7,15.5,2.3,33.3,26.8,-8.1,-9.5,5.9,2.7,-0.3,0.6,,5.0
Cocoa and chocolate,,,"1,522.5","1,404.5","1,535.9","1,760.9","2,439.2","2,484.4","2,750.6","2,659.2","2,661.6","3,298.8","3,476.2","4,295.2","4,680.6","4,095.7","4,158.8","4,728.0","4,859.7","5,080.6","5,006.5",,-7.8,9.4,14.6,38.5,1.9,10.7,-3.3,0.1,23.9,5.4,23.6,9.0,-12.5,1.5,13.7,2.8,4.5,-1.5,,6.4
Other edible products,,,"2,121.5","2,101.7","2,252.0","2,482.0","3,637.2","4,784.4","5,536.4","5,963.1","6,080.0","6,700.8","6,111.3","6,781.6","8,133.2","10,977.6","9,831.0","9,715.8","9,591.6","9,351.0","10,133.9",,-0.9,7.1,10.2,46.5,31.5,15.7,7.7,2.0,10.2,-8.8,11.0,19.9,35.0,-10.4,-1.2,-1.3,-2.5,8.4,,5.7
Beverages 3/,,,"4,411.8","4,815.9","5,101.3","5,794.7","6,597.5","7,024.3","7,887.5","9,212.1","9,912.7","9,832.9","8,721.0","9,262.8","10,142.9","10,858.5","11,247.6","11,964.0","12,785.7","13,492.9","14,382.9",,9.2,5.9,13.6,13.9,6.5,12.3,16.8,7.6,-0.8,-11.3,6.2,9.5,7.1,3.6,6.4,6.9,5.5,6.6,,4.3
Liquors,,,"2,381.9","2,725.5","2,847.0","3,091.1","3,438.2","3,709.2","4,089.9","4,511.5","5,047.7","5,040.4","4,787.0","5,189.0","5,733.8","6,023.0","6,391.7","6,587.5","6,774.2","7,165.1","7,362.9",,14.4,4.5,8.6,11.2,7.9,10.3,10.3,11.9,-0.1,-5.0,8.4,10.5,5.0,6.1,3.1,2.8,5.8,2.8,,4.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food totals 4/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total animal foods,,,"14,240.3","16,048.8","16,686.4","16,979.5","17,673.7","19,251.3","20,652.6","21,933.6","22,890.7","22,833.8","20,554.9","22,958.8","25,603.2","26,508.9","28,153.4","33,846.8","33,178.5","31,828.5","34,048.8",,12.7,4.0,1.8,4.1,8.9,7.3,6.2,4.4,-0.2,-10.0,11.7,11.5,3.5,6.2,20.2,-2.0,-4.1,7.0,,4.4
Total plant foods,,,"22,071.8","21,826.3","21,428.4","23,344.0","27,619.5","31,546.6","35,173.6","38,992.6","43,225.2","51,015.1","47,157.8","53,911.8","66,097.1","68,412.5","69,207.9","72,790.3","74,039.3","76,632.8","81,442.0",,-1.1,-1.8,8.9,18.3,14.2,11.5,10.9,10.9,18.0,-7.6,14.3,22.6,3.5,1.2,5.2,1.7,3.5,6.3,,7.2
Total beverages,,,"6,793.7","7,541.4","7,948.3","8,885.8","10,035.7","10,733.5","11,977.4","13,723.6","14,960.4","14,873.3","13,508.0","14,451.8","15,876.6","16,881.4","17,639.3","18,551.5","19,559.9","20,658.0","21,745.9",,11.0,5.4,11.8,12.9,7.0,11.6,14.6,9.0,-0.6,-9.2,7.0,9.9,6.3,4.5,5.2,5.4,5.6,5.3,,4.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1/ Values are obtained by HS-4 or 6 codes, by calendar year.  Includes bulk, intermediate, and consumer foods.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" See Appendix for the HS-2, HS-4, and HS-6 codes corresponding to each food group.   2/ Includes prepared fish 1604 and 1605 3/ Excludes liquors.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 / Excludes items not in total U.S. food import categories above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: USDA, www.fas.usda.gov/gats.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
